"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Referrer URL";"Who are you?  (Multiple options can be selected)  [LTS user]";"Who are you?  (Multiple options can be selected)  [LTS contributor/developer]";"Who are you?  (Multiple options can be selected)  [LTS sponsor]";"Who are you?  (Multiple options can be selected)  [Debian developer (project member)]";"Who are you?  (Multiple options can be selected)  [Debian FTP team member]";"Who are you?  (Multiple options can be selected)  [Debian security team member]";"Who are you?  (Multiple options can be selected)  [Debian release team member]";"Who are you?  (Multiple options can be selected)  [Debian www team member]";"Who are you?  (Multiple options can be selected)  [Debian System Administrator (DSA)]";"Who are you?  (Multiple options can be selected)  [Debian Buildd Admin]";"Who are you?  (Multiple options can be selected)  [Other]";"How long have you been using Debian?";"How long have you been using LTS?";"Are you using Extended LTS (ELTS)?";"Why do you use LTS?     Please skip this and the next five questions if you are not using LTS and continue with question 11. ";"On a scale of 1 (= very unhappy) to 10 (= very happy) how happy are you with the quality of the LTS updates? [Array]";"On a scale of 1 (= very unhappy) to 10 (= very happy), how happy are you with the how quickly LTS updates reach you? [Array]";"How would you feel if you could no longer use Debian LTS?";"Where do you use Debian LTS? [At home.]";"Where do you use Debian LTS? [At work.]";"Where do you use Debian LTS? [In another organization.]";"If you use LTS at work or in an organization, how big is that organization?";"Questions for everyone again:On a scale from 1 (= very unhappy) to 10 (= very happy), if your Debian duties led you to interact with LTS contributors, how would you rate the interaction with said contributors? [Array]";"Do you see problems with/about Debian LTS and if so, which?";"What suggestions/wishes do you have for Debian LTS?";"How likely is it that you would recommend Debian LTS to a friend or colleague? (1 = very unlikely, 10 = very likely) [Array]";"Total time";"Group time: Debian LTS Survey";"Question time: G01Q001";"Question time: G01Q17";"Question time: G01Q16";"Question time: G00Q13";"Question time: G01Q05";"Question time: G01Q06";"Question time: G01Q07";"Question time: G01Q13";"Question time: G01Q18";"Question time: G01Q19";"Question time: G01Q09";"Question time: G01Q10";"Question time: G01Q11";"Question time: G01Q12"
"291";"";"-1";"en";"1119795518";"2020-07-13 18:10:02";"2020-07-13 18:11:24";"79.154.143.132";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"82.84";"82.84";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"292";"";"";"en";"311902679";"2020-07-13 18:10:23";"2020-07-13 18:10:23";"95.91.226.164";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"293";"";"";"en";"1995335226";"2020-07-13 18:14:18";"2020-07-13 18:14:18";"173.64.110.190";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"294";"";"";"en";"1246197801";"2020-07-13 18:17:07";"2020-07-13 18:17:07";"66.214.222.167";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"295";"2020-07-13 18:24:57";"1";"en";"486046408";"2020-07-13 18:19:23";"2020-07-13 18:24:57";"223.187.241.98";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Mx linux 19 user";"1-5 years";"1-3 years";"No.";"Stability, productions. ";"9";"5";"Very disappointed.";"Yes";"No";"No";"";"";"Nothing ";"Need regularly up to date latest package of apps like LOffice, Gimp, Firefox, Inkscape, Scribus etc. ";"10";"668.49";"668.49";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"296";"";"";"en";"1417560628";"2020-07-13 18:19:47";"2020-07-13 18:19:47";"89.73.181.91";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"297";"";"";"en";"830144746";"2020-07-13 18:20:49";"2020-07-13 18:20:49";"92.184.97.225";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"298";"2020-07-13 18:26:42";"1";"en";"776089157";"2020-07-13 18:22:41";"2020-07-13 18:26:42";"109.40.0.93";"";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No and I don't know what ELTS is.";"Too lazy to upgrade";"10";"8";"Somewhat disappointed.";"Yes";"Yes";"No";"Over 1000 people";"";"";"";"7";"482.53";"482.53";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"299";"2020-07-13 18:26:54";"1";"en";"617855711";"2020-07-13 18:24:02";"2020-07-13 18:26:54";"85.212.66.126";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian Contributor";"10-20 years";"1-3 years";"No.";"I find it more efficient to set up a new server every 4-6 years than to update a server every 2 years.";"9";"8";"Somewhat disappointed.";"No";"No";"Yes";"2-10 people";"";"";"I would love it if LTS was one year longer, so that I can directly switch to the release+3 instead of release+2.";"10";"345.27";"345.27";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"300";"";"";"en";"107155806";"2020-07-13 18:27:54";"2020-07-13 18:27:54";"124.104.219.136";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"301";"";"";"en";"1340137383";"2020-07-13 18:29:03";"2020-07-13 18:29:03";"70.66.128.207";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"302";"2020-07-13 18:38:19";"1";"en";"802548491";"2020-07-13 18:29:09";"2020-07-13 18:38:19";"90.224.27.118";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No.";"I run it on some fileservers that I don’t want to have to upgrade too often since there are likely braking changes between versions which takes time to figure out and fix. ";"9";"8";"Very disappointed.";"Yes";"No";"No";"";"";"";"Somewhat better notifications in the update process. I had actually forgotten about when the LTS ended for  Jessie and was only made aware of it thanks to a Reddit post. Had there been some sort of notice (preferably in a different color) when running apt update/upgrade in advance I wouldn’t have had to upgrade quite as quickly.";"9";"1101.19";"1101.19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"303";"2020-07-13 18:33:16";"1";"en";"1043327075";"2020-07-13 18:30:26";"2020-07-13 18:33:16";"84.24.73.114";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"sysadmin, lack of time/resources makes it hard to upgrade systems ""in time""";"8";"8";"Very disappointed.";"No";"Yes";"No";"Over 1000 people";"8";"";"";"8";"340.42";"340.42";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"304";"2020-07-13 18:41:56";"1";"en";"1793100929";"2020-07-13 18:35:09";"2020-07-13 18:41:56";"107.77.195.23";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"I want a static, predictable system for as long as possible. ";"8";"7";"Very disappointed.";"Yes";"Yes";"No";"101-1000 people";"4";"There’s a lot of great info on the Debian homepage about LTS, but it’s not always clearly written or easy to find. So the main issue is simply communication. ";"Perhaps offer easier means of monetary contributions. And transparency about such contributions. Cryptocurrencies, Patreon or similar platforms, donations via cash or check, and how such donations will directly benefit Debian. Also, clearer communication regarding commercial support services. If Slackware can pull in thousands of extra dollars a month in donations, why not Debian? ";"7";"814.47";"814.47";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"305";"2020-07-13 18:48:57";"1";"en";"1628416114";"2020-07-13 18:44:47";"2020-07-13 18:48:57";"78.228.7.15";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"< 1 year";"< 1 year";"No.";"I use LMDE 4 so Debian 10 LTS stable
Is solid like a rock no problem have a big community for help
I use for game devlop and Unity3d with debian match good the problem is the old version for blender and other old package

I am 15 year old ";"9";"6";"Somewhat disappointed.";"Yes";"Yes";"No";"11-100 people";"7";"Nothing for now
";"Have a better Package version like Arch but i know is hard";"9";"500.82";"500.82";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"306";"2020-07-13 18:47:56";"1";"en";"1286693975";"2020-07-13 18:45:26";"2020-07-13 18:47:56";"39.10.202.242";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"";"";"9";"9";"Somewhat disappointed.";"Yes";"Yes";"No";"Over 1000 people";"8";"";"";"9";"300.94";"300.94";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"307";"";"";"en";"1325567445";"2020-07-13 18:45:51";"2020-07-13 18:45:51";"173.63.240.193";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"308";"";"";"en";"1439101321";"2020-07-13 18:47:07";"2020-07-13 18:47:07";"92.142.25.243";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"309";"";"";"en";"1834794943";"2020-07-13 18:47:28";"2020-07-13 18:47:28";"172.58.46.167";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"310";"2020-07-13 18:51:34";"1";"en";"1594745227";"2020-07-13 18:49:56";"2020-07-13 18:51:34";"89.89.123.103";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian user";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"9";"";"";"";"194.7";"194.7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"311";"2020-07-13 18:59:11";"1";"en";"532373730";"2020-07-13 18:53:20";"2020-07-13 18:59:11";"95.90.205.113";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian Sid User";"1-5 years";"I'm not using LTS.";"";"";"";"";"";"No";"No";"No";"";"";"Lack of advertising: Benefits, reasons to adopt Debian LTS, funding Debian LTS, e.t.c.,";"More funding for Debian LTS";"9";"703.59";"703.59";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"312";"";"";"en";"1012178838";"2020-07-13 18:54:09";"2020-07-13 18:54:09";"217.138.222.110";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"313";"2020-07-13 19:06:04";"1";"en";"1700328803";"2020-07-13 18:55:54";"2020-07-13 19:06:04";"188.238.15.197";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"No and I don't know what ELTS is.";"Lagging in upgrade, single admin of 80 servers.";"9";"9";"Somewhat disappointed.";"No";"Yes";"No";"Over 1000 people";"";"It should be clearer for the admin that a distro i nearing eol";"";"9";"1220.15";"1220.15";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"314";"2020-07-13 19:02:21";"1";"en";"682548952";"2020-07-13 18:56:02";"2020-07-13 19:02:21";"95.147.35.44";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"4-6 years";"No and I don't know what ELTS is.";"It's stable and I'm used to it.";"8";"9";"Very disappointed.";"Yes";"No";"No";"";"8";"I tried to upgrade from 9 to 10 and it did not work, under advice from a developer  - tried to upgrade without using a disc/usb stick. . I had to re-install from scratch and use the backup to try to get back to where I was.  It still is not quite right";"Keep going and thank you. It's been a great distro for most of the time.";"8";"759.03";"759.03";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"315";"";"";"en";"1334977663";"2020-07-13 18:59:22";"2020-07-13 18:59:22";"188.230.129.139";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"316";"2020-07-13 19:05:40";"1";"en";"93499283";"2020-07-13 19:02:34";"2020-07-13 19:05:40";"190.75.27.36";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"1-3 years";"No.";"Support";"8";"8";"Somewhat disappointed.";"Yes";"Yes";"No";"Over 1000 people";"";"";"";"5";"372.5";"372.5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"317";"2020-07-13 19:12:12";"1";"en";"1304974159";"2020-07-13 19:03:34";"2020-07-13 19:12:12";"97.127.61.186";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"Stability, just works combined with low need to update to next release means less man-hours.  I use it for my workstation because and for my vps because debian is more lightweight than Ubuntu.   For my laptop and media center I use Ubuntu.  ";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"";"";"10";"1034.89";"1034.89";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"318";"2020-07-13 19:15:56";"1";"en";"1465327446";"2020-07-13 19:07:49";"2020-07-13 19:15:56";"87.176.252.173";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Some software vendors requiring older libraries, compilers, (java) runtimes...";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"Over 1000 people";"";"";"";"";"974.88";"974.88";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"319";"2020-07-13 19:10:18";"1";"en";"38723552";"2020-07-13 19:08:07";"2020-07-13 19:10:18";"99.145.205.171";"";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"";"10-20 years";"1-3 years";"No and I don't know what ELTS is.";"I'm running a web and mail server. I like that the software never changes except for security patches so that I can be relatively certain that it will just keep functioning";"10";"10";"Somewhat disappointed.";"Yes";"Yes";"Yes";"11-100 people";"";"";"";"10";"260.31";"260.31";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"320";"2020-07-13 19:10:56";"1";"en";"592433144";"2020-07-13 19:09:02";"2020-07-13 19:10:56";"188.192.158.31";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"for customers internal systems ";"8";"9";"Somewhat disappointed.";"No";"Yes";"Yes";"11-100 people";"";"";"";"9";"228.82";"228.82";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"321";"";"";"en";"1222318851";"2020-07-13 19:13:08";"2020-07-13 19:13:08";"37.110.242.176";"https://t.co/tXlBQRMNPw?amp=1";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"322";"";"";"en";"1417540803";"2020-07-13 19:17:04";"2020-07-13 19:17:04";"77.54.143.64";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"323";"";"";"en";"1804350111";"2020-07-13 19:18:04";"2020-07-13 19:18:04";"62.194.17.65";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"324";"";"";"en";"1463403783";"2020-07-13 19:19:33";"2020-07-13 19:19:33";"109.209.53.35";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"325";"";"";"en";"1892183260";"2020-07-13 19:20:24";"2020-07-13 19:20:24";"86.106.121.241";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"326";"";"";"en";"2095868216";"2020-07-13 19:21:28";"2020-07-13 19:21:28";"107.77.223.20";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327";"2020-07-13 19:31:28";"1";"en";"1116818117";"2020-07-13 19:28:47";"2020-07-13 19:31:27";"181.46.89.63";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Final / Desktop user";"1-5 years";"< 1 year";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"321.89";"321.89";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"328";"";"";"en";"944835190";"2020-07-13 19:29:25";"2020-07-13 19:29:25";"77.185.236.77";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"329";"2020-07-13 19:31:07";"1";"en";"543283855";"2020-07-13 19:29:55";"2020-07-13 19:31:07";"97.120.131.237";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No.";"";"10";"7";"Very disappointed.";"Yes";"No";"No";"";"";"";"";"8";"145.12";"145.12";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"330";"";"";"en";"1546902676";"2020-07-13 19:33:26";"2020-07-13 19:33:26";"88.121.64.199";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"331";"2020-07-13 19:40:36";"1";"en";"2078491338";"2020-07-13 19:39:13";"2020-07-13 19:40:36";"82.64.172.43";"";"No";"No";"No";"Yes";"No";"No";"No";"Yes";"No";"No";"";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"10";"167.51";"167.51";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"332";"2020-07-13 19:42:35";"1";"en";"1204178437";"2020-07-13 19:41:39";"2020-07-13 19:42:35";"89.159.205.126";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No.";"";"9";"8";"Somewhat disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"8";"113.78";"113.78";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"333";"2020-07-13 19:56:33";"1";"en";"1321471522";"2020-07-13 19:48:54";"2020-07-13 19:56:33";"93.28.211.224";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No and I don't know what ELTS is.";"For work (hosting).";"10";"8";"Very disappointed.";"No";"Yes";"No";"2-10 people";"8";"No.";"More contributors.";"10";"918.23";"918.23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"334";"2020-07-13 19:53:33";"1";"en";"571220115";"2020-07-13 19:49:21";"2020-07-13 19:53:33";"92.105.111.54";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"1-3 years";"No.";"Old hardware
Stability
Preparing the migration";"10";"10";"Very disappointed.";"Yes";"Yes";"No";"Over 1000 people";"10";"No";"Handover + Communication + Period of LTS are fine and good and professional. ";"10";"502.55";"502.55";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"335";"";"";"en";"2090106374";"2020-07-13 19:54:59";"2020-07-13 19:54:59";"90.44.64.7";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"336";"";"";"en";"1757987373";"2020-07-13 19:57:03";"2020-07-13 19:57:03";"184.160.25.2";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"337";"";"";"en";"52423769";"2020-07-13 20:05:45";"2020-07-13 20:05:45";"188.79.201.129";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"338";"";"";"en";"1415055005";"2020-07-13 20:08:50";"2020-07-13 20:08:50";"78.194.7.43";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"339";"2020-07-13 20:16:47";"1";"en";"898503173";"2020-07-13 20:11:22";"2020-07-13 20:16:47";"5.16.116.220";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"< 1 year";"< 1 year";"No and I don't know what ELTS is.";"stability, no errors";"9";"7";"Somewhat disappointed.";"Yes";"No";"No";"";"";"";"";"8";"649.35";"649.35";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"340";"2020-07-13 20:18:30";"1";"en";"2068104050";"2020-07-13 20:13:24";"2020-07-13 20:18:30";"82.171.74.105";"";"No";"Yes";"No";"Yes";"No";"No";"Yes";"No";"No";"No";"";"> 20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"7";"";"Personally I would like to see *more* communication from the LTS contributors to me as the maintainer of at least on package that regularly gets a security update. I'd like to help and avoid duplicate effort. Often the effort can easily apply to stable and oldstable as well. Having a nice set of git commits is nicer than to $(gbp import-dsc).";"";"613.38";"613.38";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"341";"";"";"en";"712910303";"2020-07-13 20:23:37";"2020-07-13 20:23:37";"98.122.153.169";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"342";"2020-07-13 20:50:30";"1";"en";"1404443428";"2020-07-13 20:24:09";"2020-07-13 20:50:30";"69.9.240.150";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No and I don't know what ELTS is.";"I prefer stability in my home data server and the familiarity for hacking and learning on a home lab. ";"10";"8";"Very disappointed.";"Yes";"No";"Yes";"11-100 people";"";"The https://wiki.debian.org/ isn't consistently up to date and especially for novices and non-contributors, finding solutions to problems or even understanding new features is a fractured experience. The information is usually out there but one has to learn how to look for it then spend a considerable amount of time parsing multiple sources. A task impossible for all but the most intuitive novice, and burdensome to anyone else. In the medical profession, care providers can spend as much time if not more documenting their work as they do actually practicing medicine, yet the nature of mostly volunteer collaboration makes documentation more chance than a necessary part of developing. ";"Raise the bar on documentation standards and limit official sources so access to the information doesn't require advanced search skills. ";"10";"3163.4";"3163.4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"343";"2020-07-13 20:26:58";"1";"en";"205656860";"2020-07-13 20:24:13";"2020-07-13 20:26:58";"45.181.84.230";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"< 1 year";"No and I don't know what ELTS is.";"Because of the stable package releases.";"9";"10";"Somewhat disappointed.";"Yes";"No";"No";"";"";"Actually no problems at all. I just had some issues with some drivers it was easy to solve thanks to the wiki.";"";"10";"330.36";"330.36";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"344";"2020-07-13 20:42:58";"1";"en";"1509799702";"2020-07-13 20:25:15";"2020-07-13 20:42:58";"104.159.180.48";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"4-6 years";"No.";"Because it works as advertised.  ";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"No complaints.";"If I were to wish for anything it would be for slightly more control over the software that gets installed through the installer. I understand that the software included
in the different desktop environments isn't a responsibility for the Debian developers, but if I had the option to not install Libre Office when I do my usual Debian stable + XFCE install, I would be very happy and both me and your servers could avoid a good bit of downloading.";"10";"2126.38";"2126.38";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"345";"2020-07-13 20:33:18";"1";"en";"950359030";"2020-07-13 20:28:45";"2020-07-13 20:33:18";"181.23.203.223";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No and I don't know what ELTS is.";"When the system was installed debian 8 was the stable choice";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"Over 1000 people";"8";"No";"";"10";"546.99";"546.99";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"346";"2020-07-13 20:36:25";"1";"en";"468075986";"2020-07-13 20:34:30";"2020-07-13 20:36:24";"109.190.54.247";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Because I can not force my colleagues to upgrade faster.";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"101-1000 people";"";"There is a fear that the project may stop since it's kind of a side-project for Debian. (That's why I pushed my employer to sponsor Debian LTS)";"Keep rocking!";"10";"222.05";"222.05";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"347";"";"";"en";"108933919";"2020-07-13 20:40:05";"2020-07-13 20:40:05";"176.161.123.39";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
